Item,Quantity,Name,Material
1,1,cable_holder,PETG
2,1,unversal_cable_mount,PETG
3,6,DIN 912 M3 10 mm,Hardened Alloy Steel
4,23,"M3  Hex nut ",Hardened Alloy Steel
5,5,DIN 912 M3 35 mm,Hardened Alloy Steel
6,1,BMG_Extruder,"Nylon "
7,1,top_bmg_mgn15,PETG
8,1,back_corexy,PETG
9,2,tension_slider_9mm_belt_M5,PETG
10,1,DIN 912 M3 25 mm,Hardened Alloy Steel
11,2,DIN 912 M5 45 mm,Hardened Alloy Steel
12,2,M5  Hex nut Nyloc,Hardened Alloy Steel
13,1,5015 fan,- None -
14,1,bottom_mgn15,PETG
15,2,DIN 912 M3 20 mm,Hardened Alloy Steel
16,2,DIN 912 M3 40 mm,Hardened Alloy Steel
17,1,Duct v2.1 Straight,PETG
18,1,universal_face,PETG
19,2,face_belt_grabber,PETG
20,4,DIN 912 M3 8 mm,Hardened Alloy Steel
21,1,PTFE 65mm,PTFE
