Item,Quantity,Name,Material
1,1,bottom_mgn12_short_duct,PETG
2,29,"M3  Hex nut ",Hardened Alloy Steel
3,5,DIN 912 M3 12 mm,Hardened Alloy Steel
4,7,DIN 912 M3 35 mm,Hardened Alloy Steel
5,1,Duct v2.1 Straight,PETG
6,1,back_corexy,PETG
7,1,tension_slider_9mm_belt_M5,PETG
8,1,tension_slider_9mm_belt_M5_mirror,PETG
9,3,DIN 912 M3 25 mm,Hardened Alloy Steel
10,1,5015 fan,- None -
11,2,DIN 912 M5 45 mm,Hardened Alloy Steel
12,2,M5  Hex nut Nyloc,Hardened Alloy Steel
13,1,top_endstop_plug_mgn12,PETG
14,1,top_bmg_mgn12,PETG
15,5,DIN 912 M3 8 mm,Hardened Alloy Steel
16,8,DIN 912 M3 10 mm,Hardened Alloy Steel
17,1,BMG-M_Extruder,- None -
18,1,bmg-m_pfte_adapter,PETG
19,2,DIN 912 M2.5 10 mm,Hardened Alloy Steel
20,1,PTFE 26.8mm,- None -
21,1,cable_holder,PETG
22,1,unversal_cable_mount,PETG
23,2,DIN 912 M2.5 12 mm,Hardened Alloy Steel
24,1,universal_face,PETG
25,2,face_belt_grabber,PETG
26,1,mosquito_face,PETG
27,4,DIN 912 M3 20 mm,Hardened Alloy Steel
28,1,4010 FAN,- None -
29,1,mosquito_support,PETG
30,1,shroud,PETG
